('twentieth', 'centuri') 1
('asia', 'leader') 1
('leader', '–') 1
('–', 'scholar') 1
('scholar', 'politician') 1
('politician', 'militari') 1
('militari', 'command') 1
('command', '–') 1
('–', 'deliber') 1
('deliber', 'concept') 1
('nation', 'nation') 1
('nation', 'ident') 1
('ident', 'world') 1
('world', 'nation') 1
('nation', 'earli') 1
('earli', 'twenty-first') 1
('twenty-first', 'centuri') 1
('asia', 'seem') 1
('seem', 'organ') 1
('organ', 'around') 1
('around', 'conflict') 1
('conflict', 'redrew') 1
('redrew', 'boundari') 1
('boundari', 'asian') 1
('asian', 'societi') 1
('societi', 'balanc') 1
('balanc', 'power') 1
('power', 'foster') 1
('foster', 'wake') 1
('wake', 'histori') 1
('histori', 'reimagin') 1
('reimagin', 'provid') 1
('provid', 'ampl') 1
('ampl', 'fodder') 1
('fodder', 'asia') 1
('asia', 'contemporari') 1
('contemporari', 'nationalist') 1
('nationalist', 'impuls') 1
('impuls', 'thi') 1
('cours', 'explor') 1
('explor', 'variou') 1
('variou', 'episod') 1
('episod', 'advoc') 1
('advoc', 'nation') 1
('nation', 'asia') 1
('asia', 'begin') 1
('begin', 'earli') 1
('earli', 'reaction') 1
('reaction', 'modern') 1
('modern', 'concept') 1
('nation', 'whether') 1
('whether', 'suit') 1
('suit', 'societi') 1
('societi', 'explor') 1
('explor', 'evolut') 1
('evolut', 'refram') 1
('refram', 'nation') 1
('nation', 'across') 1
('across', 'asia') 1
('asia', '[Encountering') 1
('[Encountering', 'Asia:') 1
('Asia:', 'Pol/Eco/Soc].') 1
('Pol/Eco/Soc].', 'asia') 1
('part', 'life') 1
('life', 'the') 1
('the', 'region') 1
('region', "'s") 1
("'s", 'econom') 1
('econom', 'growth') 1
('growth', 'never') 1
('never', 'deepli') 1
('deepli', 'felt') 1
('felt', 'across') 1
('across', 'globe') 1
('globe', 'strateg') 1
('strateg', 'import') 1
('import', 'polit') 1
('polit', 'influenc') 1
('influenc', 'impact') 1
